config,n_images,mean_s,rss_mb,vram_mb,load_s,params,weights_mb,d1_s,d2_s,d3_s
ours_cpu,30,0.6150022553995466,270.48046875,0.0,0.0,0,0.0,0.36384035979790497,1.4398008273012237,0.041365579099510795
ours_gpu,30,0.5124657761334674,684.75,102.0,0.0,0,0.0,0.21131577110063518,1.2474486945000536,0.07863286279971363
student_gpu,30,0.013631485067890026,1194.54296875,233.375,0.1379846610070672,266497,1.042313575744629,0.014119267900241539,0.02523773380671628,0.00153745349671226
sam3_gpu,30,0.21005519689739838,5740.890625,2561.056640625,3.1248727969941683,840376374,3280.581008911133,0.2099990310962312,0.2120622573973378,0.2081043021986261
sam3_cpu,3,17.744513881004725,5186.64453125,0.0,2.5290370649890974,840376374,3280.581008911133,17.678225014009513,17.25291122600902,18.302405402995646
